     1	457.26477044282354334 1304.8233757487748606
     2	463.5798736850092261 1197.1908287327756724
     3	465.26219095480845686 1186.13013629312151
     4	466.0354960380607984 1171.5489161176863534
     5	466.43256995799655007 1120.8819838506168796
